,breed name,Dog Breed Group,Height,Height Avg.,Weight,Weight Avg.,Life Span,Life Span Avg.,Adaptability,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,All Around Friendliness,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Health And Grooming Needs,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Trainability,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Physical Needs,Energy Level,Intensity,Exercise Needs,Potential For Playfulness
324,Rottle,Mixed Breed Dogs,12 to 27 inches,19.5,60 to 90 pounds,75.0,9 to 15 years,12.0,3,4,3,3,3,3,3,4,5,4,3,3,3,2,2.0,4,4,3,3,3,5,5,3,3.0,2.0,2,4,4,3,4,5
325,Rottweiler,Working Dogs,22 to 27 inches tall at the shoulder,24.5,85 to 130 pounds,107.5,8 to 11 years,9.5,2,2,1,4,1,2,3,4,5,4,2,4,4,4,4.0,5,2,5,3,4,4,5,3,4.0,4.0,2,4,4,4,4,5
326,Saint Berdoodle,Mixed Breed Dogs,15 to 30 inches,22.5,40 to 180 pounds,110.0,8 to 12 years,10.0,3,2,5,3,2,4,3,5,5,5,5,4,3,3,1.0,4,4,3,4,3,4,4,3,3.0,3.0,3,3,3,3,3,3
327,Saint Bernard,Working Dogs,"2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder",2.0,120 to 180 pounds,150.0,8 to 10 years,9.0,3,3,2,4,1,5,1,5,5,5,5,5,4,4,5.0,2,2,4,5,2,2,4,3,1.0,1.0,2,3,3,2,2,4
328,Saluki,Hound Dogs,23 to 28 inches tall at the shoulder,25.5,35 to 70 pounds,52.5,12 to 14 years,13.0,2,1,2,5,1,2,3,4,5,4,4,1,3,2,1.0,4,4,1,4,4,4,4,4,5.0,1.0,5,4,5,2,5,5
329,Samoyed,Working Dogs,"1 foot, 7 inches to 2 feet tall at the shoulder",4.0,50 to 60 pounds,55.0,12 to 14 years,13.0,3,2,2,4,2,5,1,5,5,5,5,5,3,5,2.0,1,3,4,3,4,3,3,3,5.0,3.0,4,4,5,2,5,5
330,Samusky,Mixed Breed Dogs,20 to 24 inches,22.0,45 to 60 pounds,52.5,12 to 15 years,13.5,3,2,3,3,2,5,3,4,4,5,4,4,3,4,2.0,2,3,4,4,3,3,5,3,3.0,2.0,4,4,5,3,4,5
331,Schipperke,Companion Dogs,10 to 15 inches tall at the shoulder,12.5,11 to 18 pounds,14.5,13 to 15 years,14.0,3,4,2,4,3,3,2,3,4,5,2,2,3,3,1.0,5,4,5,1,3,2,4,3,2.0,4.0,5,5,5,3,5,5
332,Schnoodle,Hybrid Dogs,10 to 26 inches tall at the shoulder,18.0,20 to 75 pounds,47.5,10 to 15 years,12.5,3,3,5,4,2,2,4,4,4,5,3,3,3,2,1.0,4,3,4,4,3,4,5,3,3.0,2.0,3,4,4,3,4,4
333,Scottish Deerhound,Hound Dogs,28 to 32 inches tall at the shoulder,30.0,75 to 110 pounds,92.5,8 to 11 years,9.5,3,1,1,3,2,4,4,4,5,4,2,5,3,5,1.0,2,3,4,5,3,2,3,4,5.0,1.0,4,5,5,5,5,5
